VALUE,MEDIAN,DIFF
146,146,0
199,186,13
215,186,29
203,187,16
188,188,0
186,188,-2
195,188,7
200,188,12
195,188,7
187,188,-1
186,188,-2
191,187,4
193,186,7
190,186,4
183,186,-3
182,184,-2
184,183,1
186,183,3
183,182,1
178,180,-2
176,179,-3
179,178,1
180,177,3
177,176,1
173,174,-1
171,173,-2
173,173,0
174,171,3
171,171,0
168,168,0
166,168,-2
168,168,0
168,166,2
166,166,0
162,162,0
161,162,-1
162,162,0
162,161,1
161,161,0
158,160,-2
158,159,-1
159,158,1
160,158,2
158,158,0
155,155,0
154,155,-1
155,155,0
155,154,1
154,154,0
152,152,0
151,152,-1
152,152,0
152,151,1
151,151,0
148,149,-1
148,148,0
148,148,0
149,148,1
148,148,0
146,146,0
145,145,0
145,145,0
145,145,0
144,144,0
142,143,-1
142,142,0
142,142,0
143,142,1
141,141,0
139,139,0
138,139,-1
139,139,0
139,138,1
138,138,0
136,136,0
135,135,0
135,135,0
135,135,0
134,134,0
133,134,-1
132,133,-1
133,133,0
134,133,1
133,133,0
132,133,-1
131,133,-2
132,133,-1
133,133,0
133,133,0
132,133,-1
132,133,-1
133,132,1
134,132,2
133,132,1
132,132,0
131,132,-1
132,132,0
133,132,1
133,132,1
132,132,0
132,132,0
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
132,132,0
133,132,1
132,132,0
132,132,0
131,132,-1
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
132,131,1
132,131,1
132,131,1
131,131,0
130,131,-1
131,131,0
132,131,1
131,131,0
131,131,0
131,131,0
131,131,0
132,131,1
131,131,0
131,131,0
131,131,0
132,131,1
132,131,1
132,131,1
131,131,0
131,132,-1
131,132,-1
132,132,0
132,132,0
131,132,-1
131,132,-1
132,132,0
132,132,0
132,132,0
132,132,0
131,132,-1
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
132,132,0
132,132,0
132,132,0
131,132,-1
131,132,-1
131,132,-1
132,132,0
132,132,0
131,132,-1
131,132,-1
132,131,1
132,131,1
132,131,1
131,131,0
131,131,0
132,131,1
132,131,1
131,131,0
131,131,0
131,131,0
131,131,0
132,131,1
132,131,1
131,131,0
131,131,0
132,131,1
131,131,0
131,131,0
130,131,-1
130,131,-1
131,131,0
132,131,1
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
132,131,1
132,131,1
132,131,1
131,131,0
131,131,0
131,131,0
132,131,1
132,131,1
131,132,-1
131,132,-1
132,131,1
132,131,1
131,131,0
131,131,0
131,131,0
132,131,1
132,131,1
132,131,1
131,131,0
131,131,0
131,131,0
132,131,1
131,131,0
131,131,0
131,131,0
131,131,0
132,131,1
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
131,131,0
130,131,-1
130,131,-1
131,131,0
131,131,0
131,131,0
130,131,-1
130,131,-1
131,131,0
131,131,0
131,131,0
131,131,0
130,131,-1
131,131,0
131,131,0
131,131,0
131,131,0
130,131,-1
131,131,0
131,131,0
131,131,0
130,131,-1
130,131,-1
131,131,0
131,131,0
