VALUE,MEDIAN,DIFF
84,84,0
103,100,3
108,102,6
104,102,2
100,103,-3
102,103,-1
105,103,2
105,103,2
103,103,0
102,103,-1
103,103,0
105,103,2
105,103,2
103,102,1
102,102,0
103,102,1
103,102,1
102,102,0
101,102,-1
101,102,-1
102,102,0
102,102,0
101,101,0
100,101,-1
100,101,-1
101,101,0
102,101,1
102,101,1
101,101,0
101,101,0
101,101,0
101,101,0
100,101,-1
101,101,0
102,101,1
102,101,1
102,101,1
101,101,0
100,101,-1
100,101,-1
100,101,-1
100,101,-1
100,101,-1
101,101,0
101,101,0
101,101,0
100,101,-1
99,100,-1
100,100,0
101,101,0
101,101,0
102,101,1
101,101,0
101,101,0
101,101,0
100,101,-1
100,101,-1
100,101,-1
101,101,0
103,101,2
103,101,2
102,101,1
101,101,0
101,101,0
101,101,0
101,101,0
101,101,0
102,101,1
102,101,1
101,101,0
100,101,-1
100,101,-1
99,101,-2
100,101,-1
100,100,0
101,100,1
101,100,1
101,100,1
101,100,1
100,100,0
99,100,-1
99,100,-1
99,100,-1
100,100,0
101,100,1
101,100,1
100,100,0
100,100,0
100,100,0
100,100,0
100,100,0
101,100,1
102,100,2
102,101,1
101,100,1
100,100,0
100,100,0
100,100,0
100,101,-1
101,101,0
102,101,1
102,101,1
101,101,0
100,101,-1
100,101,-1
100,101,-1
101,101,0
102,101,1
102,102,0
103,102,1
102,102,0
102,101,1
101,101,0
100,101,-1
101,102,-1
102,102,0
102,102,0
102,102,0
102,102,0
100,102,-2
100,101,-1
100,101,-1
100,100,0
102,100,2
103,100,3
103,100,3
102,100,2
100,100,0
99,100,-1
98,100,-2
99,100,-1
99,100,-1
100,100,0
100,100,0
101,100,1
100,100,0
100,100,0
100,100,0
101,100,1
101,100,1
101,100,1
100,100,0
100,100,0
99,100,-1
100,100,0
100,100,0
100,100,0
100,100,0
100,100,0
101,100,1
101,100,1
100,99,1
99,99,0
99,99,0
99,99,0
99,99,0
99,99,0
99,99,0
98,99,-1
98,99,-1
98,99,-1
98,99,-1
99,99,0
99,99,0
99,99,0
99,99,0
99,99,0
100,99,1
100,99,1
99,99,0
99,99,0
99,99,0
99,99,0
100,99,1
100,99,1
99,99,0
98,98,0
97,98,-1
97,98,-1
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
97,98,-1
97,98,-1
97,98,-1
98,98,0
99,98,1
99,98,1
99,98,1
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
99,98,1
99,98,1
99,98,1
98,98,0
97,97,0
96,97,-1
96,97,-1
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
98,97,1
99,97,2
98,97,1
96,97,-1
95,98,-3
96,98,-2
97,98,-1
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
97,98,-1
97,98,-1
98,98,0
98,98,0
98,98,0
97,98,-1
97,98,-1
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
96,98,-2
95,98,-3
96,98,-2
98,98,0
101,98,3
101,98,3
100,98,2
97,98,-1
96,98,-2
97,98,-1
99,98,1
100,98,2
100,99,1
99,99,0
98,99,-1
97,99,-2
97,98,-1
97,98,-1
98,98,0
99,99,0
99,99,0
99,99,0
99,98,1
99,98,1
98,98,0
98,98,0
98,98,0
98,99,-1
99,99,0
100,98,2
99,98,1
98,98,0
96,98,-2
96,98,-2
98,98,0
99,98,1
99,98,1
98,98,0
97,98,-1
96,98,-2
96,98,-2
97,98,-1
98,98,0
99,98,1
99,98,1
99,98,1
98,98,0
97,98,-1
97,98,-1
97,98,-1
98,98,0
98,98,0
99,98,1
99,98,1
98,98,0
98,98,0
97,98,-1
97,98,-1
97,98,-1
98,98,0
99,98,1
99,98,1
98,98,0
97,98,-1
96,97,-1
96,97,-1
96,97,-1
97,98,-1
98,98,0
99,98,1
99,98,1
98,98,0
97,97,0
97,98,-1
97,98,-1
98,98,0
99,98,1
99,98,1
99,98,1
98,98,0
97,98,-1
97,98,-1
98,98,0
99,98,1
99,98,1
99,98,1
98,98,0
97,98,-1
96,97,-1
96,97,-1
96,97,-1
97,98,-1
98,98,0
98,98,0
98,98,0
97,98,-1
96,98,-2
96,98,-2
97,98,-1
98,98,0
99,98,1
99,98,1
99,98,1
99,98,1
99,98,1
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
98,98,0
97,98,-1
96,97,-1
96,97,-1
97,97,0
97,97,0
98,97,1
97,97,0
97,97,0
97,97,0
97,97,0
96,97,-1
96,97,-1
96,97,-1
97,97,0
97,97,0
97,97,0
96,97,-1
96,97,-1
97,97,0
98,97,1
99,97,2
99,97,2
98,97,1
98,97,1
97,97,0
97,97,0
96,97,-1
96,97,-1
97,97,0
98,97,1
98,97,1
97,97,0
97,97,0
96,97,-1
96,97,-1
97,97,0
97,97,0
98,97,1
98,97,1
98,97,1
97,97,0
96,97,-1
95,97,-2
95,97,-2
96,97,-1
97,97,0
97,97,0
97,97,0
97,96,1
96,96,0
96,96,0
96,96,0
96,96,0
97,96,1
98,96,2
97,96,1
95,96,-1
94,96,-2
93,96,-3
94,96,-2
95,96,-1
96,96,0
96,96,0
96,96,0
95,95,0
95,95,0
95,95,0
95,96,-1
97,96,1
97,96,1
97,96,1
97,96,1
96,96,0
95,96,-1
95,96,-1
96,96,0
97,96,1
97,96,1
97,96,1
96,96,0
95,96,-1
94,95,-1
94,95,-1
94,95,-1
95,95,0
96,95,1
96,95,1
96,95,1
95,95,0
94,95,-1
93,95,-2
93,95,-2
95,95,0
96,95,1
96,95,1
96,95,1
95,95,0
94,95,-1
94,95,-1
94,95,-1
95,95,0
96,95,1
97,96,1
96,95,1
95,95,0
94,95,-1
94,95,-1
94,95,-1
96,95,1
97,95,2
97,96,1
97,95,2
95,95,0
94,95,-1
93,94,-1
93,95,-2
94,95,-1
96,95,1
96,95,1
96,95,1
95,95,0
94,95,-1
93,95,-2
94,95,-1
95,95,0
96,96,0
97,96,1
97,96,1
96,96,0
95,95,0
95,95,0
95,95,0
96,95,1
96,96,0
96,96,0
96,96,0
96,96,0
95,96,-1
95,95,0
95,95,0
95,95,0
95,96,-1
96,96,0
97,95,2
96,95,1
96,95,1
95,95,0
95,95,0
95,95,0
95,95,0
96,95,1
96,95,1
95,95,0
94,95,-1
93,95,-2
93,95,-2
94,95,-1
95,95,0
96,95,1
96,95,1
95,95,0
94,95,-1
94,95,-1
95,95,0
96,96,0
96,96,0
96,96,0
97,96,1
97,96,1
96,96,0
96,96,0
95,96,-1
95,96,-1
96,96,0
96,96,0
96,96,0
96,96,0
95,96,-1
95,96,-1
95,96,-1
96,96,0
96,96,0
97,96,1
97,97,0
97,97,0
97,97,0
97,97,0
96,97,-1
97,97,0
97,97,0
98,97,1
98,97,1
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
97,97,0
98,98,0
98,97,1
98,97,1
97,97,0
97,97,0
98,97,1
98,98,0
98,98,0
98,98,0
98,98,0
97,98,-1
97,98,-1
97,98,-1
97,98,-1
98,98,0
99,98,1
100,98,2
99,98,1
98,98,0
98,98,0
98,98,0
99,98,1
99,99,0
99,99,0
99,99,0
98,98,0
98,98,0
97,98,-1
98,98,0
99,98,1
100,98,2
99,98,1
98,98,0
97,98,-1
96,98,-2
97,98,-1
98,98,0
98,98,0
99,98,1
99,98,1
100,98,2
99,98,1
97,98,-1
96,98,-2
96,98,-2
98,98,0
99,98,1
99,99,0
99,99,0
98,99,-1
97,99,-2
97,99,-2
97,99,-2
98,99,-1
99,99,0
100,99,1
100,99,1
100,99,1
99,99,0
99,99,0
99,99,0
100,99,1
100,100,0
101,100,1
101,100,1
100,99,1
99,99,0
97,99,-2
98,99,-1
99,99,0
100,99,1
100,99,1
99,99,0
99,99,0
98,99,-1
98,99,-1
98,99,-1
98,99,-1
99,99,0
100,99,1
100,99,1
100,99,1
98,99,-1
97,99,-2
98,99,-1
99,99,0
100,99,1
101,99,2
100,100,0
100,99,1
99,99,0
98,99,-1
98,99,-1
98,99,-1
99,99,0
100,100,0
101,100,1
100,99,1
99,99,0
98,99,-1
98,99,-1
99,99,0
100,100,0
101,100,1
101,100,1
100,100,0
99,100,-1
99,100,-1
99,100,-1
100,100,0
101,100,1
102,100,2
103,100,3
102,100,2
100,100,0
98,100,-2
98,100,-2
99,100,-1
100,100,0
101,101,0
102,101,1
101,100,1
100,100,0
99,100,-1
98,101,-3
100,101,-1
102,101,1
103,102,1
103,102,1
102,102,0
100,102,-2
101,102,-1
102,102,0
103,102,1
103,102,1
103,102,1
103,102,1
103,102,1
102,102,0
102,102,0
101,102,-1
102,102,0
103,102,1
103,102,1
102,102,0
102,102,0
101,102,-1
101,102,-1
102,102,0
102,102,0
102,102,0
102,102,0
102,102,0
101,102,-1
100,101,-1
100,101,-1
101,102,-1
101,102,-1
102,102,0
102,102,0
102,102,0
101,101,0
101,101,0
101,101,0
102,101,1
102,101,1
103,101,2
103,101,2
102,101,1
101,101,0
100,101,-1
100,101,-1
101,101,0
101,101,0
101,101,0
101,101,0
100,101,-1
100,101,-1
100,101,-1
100,101,-1
101,101,0
102,101,1
102,101,1
103,101,2
102,101,1
101,101,0
101,101,0
101,101,0
101,101,0
102,101,1
102,102,0
102,102,0
102,101,1
101,101,0
101,101,0
101,101,0
101,101,0
101,101,0
102,102,0
102,102,0
102,102,0
101,101,0
100,101,-1
100,101,-1
101,101,0
102,102,0
103,102,1
103,102,1
102,102,0
102,101,1
101,101,0
101,101,0
101,101,0
102,101,1
102,101,1
102,101,1
100,101,-1
99,101,-2
99,101,-2
99,100,-1
100,100,0
100,100,0
101,100,1
101,100,1
101,100,1
100,100,0
100,100,0
99,101,-2
100,101,-1
102,101,1
103,101,2
104,101,3
103,102,1
101,102,-1
100,102,-2
101,102,-1
102,102,0
103,102,1
104,102,2
104,103,1
103,102,1
102,102,0
101,102,-1
101,102,-1
102,102,0
102,102,0
103,102,1
103,102,1
103,102,1
101,102,-1
100,101,-1
100,101,-1
101,101,0
102,101,1
102,101,1
102,101,1
101,101,0
99,101,-2
98,101,-3
