VALUE,MEDIAN,DIFF
38,38,0
49,45,4
50,45,5
47,45,2
45,46,-1
47,46,1
51,47,4
51,47,4
49,47,2
46,47,-1
45,47,-2
45,47,-2
46,47,-1
47,47,0
48,48,0
48,48,0
48,48,0
47,48,-1
46,48,-2
47,48,-1
49,48,1
50,48,2
49,48,1
48,48,0
47,47,0
48,47,1
49,47,2
49,47,2
47,47,0
46,47,-1
46,47,-1
46,47,-1
47,47,0
47,47,0
47,46,1
47,46,1
46,46,0
45,46,-1
45,46,-1
45,46,-1
46,46,0
47,46,1
46,46,0
46,46,0
46,45,1
47,45,2
46,45,1
45,45,0
44,45,-1
44,46,-2
45,46,-1
45,46,-1
45,46,-1
44,46,-2
45,46,-1
45,46,-1
46,46,0
46,46,0
46,46,0
47,46,1
48,46,2
47,46,1
46,46,0
46,46,0
46,46,0
47,46,1
47,47,0
46,47,-1
45,47,-2
45,46,-1
46,46,0
47,46,1
48,46,2
49,46,3
48,46,2
47,46,1
46,46,0
46,46,0
46,46,0
47,46,1
47,46,1
46,46,0
45,46,-1
45,46,-1
46,46,0
47,46,1
47,46,1
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
45,45,0
45,45,0
44,45,-1
44,45,-1
45,45,0
45,45,0
45,45,0
44,44,0
43,44,-1
42,44,-2
43,44,-1
44,44,0
45,44,1
45,44,1
44,44,0
44,44,0
44,44,0
44,44,0
44,44,0
43,44,-1
44,44,0
45,44,1
47,44,3
47,44,3
45,44,1
44,45,-1
43,45,-2
43,45,-2
44,46,-2
45,46,-1
46,46,0
47,47,0
47,46,1
47,46,1
47,46,1
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
47,47,0
47,47,0
48,47,1
49,47,2
48,47,1
48,47,1
47,47,0
46,46,0
46,46,0
46,46,0
45,46,-1
45,46,-1
46,46,0
46,46,0
46,46,0
45,46,-1
45,46,-1
46,46,0
47,46,1
47,46,1
47,46,1
47,46,1
46,46,0
46,46,0
46,45,1
46,46,0
45,46,-1
45,46,-1
44,46,-2
44,46,-2
43,46,-3
43,45,-2
44,45,-1
45,45,0
46,45,1
46,45,1
46,46,0
46,46,0
46,46,0
45,46,-1
45,46,-1
46,46,0
47,46,1
48,47,1
48,47,1
47,47,0
46,48,-2
47,48,-1
48,48,0
49,48,1
49,48,1
48,48,0
48,48,0
49,48,1
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
49,48,1
48,48,0
48,48,0
47,48,-1
47,48,-1
47,48,-1
47,48,-1
48,48,0
49,48,1
49,48,1
49,48,1
49,47,2
47,47,0
46,47,-1
46,47,-1
47,48,-1
48,48,0
48,47,1
48,47,1
47,47,0
47,47,0
46,47,-1
47,47,0
48,47,1
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
47,47,0
48,47,1
49,48,1
49,48,1
48,48,0
47,48,-1
45,47,-2
46,47,-1
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
46,47,-1
46,47,-1
46,47,-1
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
45,47,-2
45,47,-2
45,47,-2
46,47,-1
47,48,-1
48,48,0
48,48,0
48,48,0
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,47,1
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
46,47,-1
46,47,-1
45,47,-2
45,47,-2
46,47,-1
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
46,47,-1
46,47,-1
47,47,0
47,47,0
46,47,-1
45,47,-2
45,47,-2
45,47,-2
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
46,47,-1
46,47,-1
46,47,-1
48,47,1
49,47,2
50,47,3
49,47,2
48,47,1
47,47,0
46,47,-1
47,48,-1
48,48,0
49,48,1
49,48,1
48,47,1
46,47,-1
45,47,-2
45,47,-2
47,46,1
48,46,2
48,46,2
47,46,1
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
45,46,-1
46,46,0
46,46,0
47,46,1
47,46,1
46,46,0
46,46,0
46,46,0
47,46,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
46,47,-1
45,47,-2
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
49,47,2
49,47,2
48,47,1
47,47,0
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
45,47,-2
45,47,-2
46,47,-1
48,47,1
49,47,2
48,48,0
47,48,-1
47,47,0
47,47,0
48,47,1
48,47,1
47,47,0
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
46,47,-1
47,47,0
47,47,0
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
48,47,1
47,48,-1
46,48,-2
46,48,-2
47,48,-1
48,48,0
49,48,1
49,48,1
49,48,1
48,48,0
48,48,0
49,48,1
50,48,2
50,48,2
49,49,0
48,49,-1
47,48,-1
46,48,-2
46,48,-2
47,48,-1
48,48,0
49,48,1
50,48,2
49,48,1
48,47,1
48,47,1
49,47,2
48,47,1
47,48,-1
46,48,-2
46,48,-2
47,47,0
47,47,0
47,47,0
46,47,-1
47,47,0
48,47,1
49,47,2
48,47,1
46,47,-1
46,47,-1
46,47,-1
47,47,0
47,47,0
46,47,-1
46,47,-1
