VALUE,MEDIAN,DIFF
38,38,0
47,44,3
48,45,3
46,45,1
44,45,-1
45,45,0
47,46,1
47,46,1
46,46,0
45,46,-1
45,46,-1
45,46,-1
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
45,46,-1
45,46,-1
45,46,-1
45,46,-1
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
46,46,0
47,46,1
47,46,1
47,46,1
47,46,1
46,46,0
46,46,0
46,46,0
47,46,1
47,47,0
47,47,0
46,47,-1
46,47,-1
45,47,-2
46,47,-1
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
47,47,0
47,47,0
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,48,0
48,48,0
48,48,0
48,48,0
47,47,0
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
46,48,-2
47,48,-1
48,48,0
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
47,48,-1
46,48,-2
46,48,-2
47,47,0
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
46,47,-1
46,47,-1
46,47,-1
47,47,0
48,47,1
48,47,1
48,47,1
47,47,0
46,47,-1
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
46,47,-1
46,47,-1
46,47,-1
47,47,0
47,47,0
46,47,-1
46,47,-1
46,47,-1
47,47,0
47,47,0
46,47,-1
45,47,-2
45,47,-2
47,47,0
48,47,1
49,47,2
48,47,1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,47,1
48,47,1
48,47,1
46,47,-1
45,47,-2
45,47,-2
46,47,-1
48,47,1
48,46,2
47,46,1
46,46,0
46,46,0
46,46,0
47,47,0
47,47,0
46,47,-1
46,47,-1
46,46,0
47,46,1
47,46,1
48,46,2
47,46,1
47,46,1
46,46,0
46,46,0
46,47,-1
46,47,-1
46,47,-1
46,47,-1
46,47,-1
47,47,0
47,47,0
47,47,0
47,47,0
47,47,0
48,48,0
49,48,1
49,48,1
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
49,48,1
49,48,1
50,48,2
49,48,1
48,48,0
48,48,0
48,48,0
48,48,0
49,49,0
49,49,0
49,48,1
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
48,49,-1
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,48,0
48,48,0
48,48,0
48,48,0
49,48,1
50,48,2
50,48,2
49,48,1
48,48,0
47,48,-1
48,48,0
48,48,0
49,48,1
48,48,0
48,48,0
47,48,-1
47,48,-1
47,48,-1
48,48,0
49,48,1
49,48,1
49,48,1
49,48,1
48,48,0
48,48,0
47,48,-1
47,48,-1
46,48,-2
46,48,-2
47,48,-1
48,48,0
49,48,1
48,47,1
48,47,1
47,47,0
48,47,1
48,47,1
48,48,0
47,48,-1
47,48,-1
47,48,-1
47,48,-1
47,48,-1
47,48,-1
48,48,0
49,47,2
49,47,2
49,47,2
48,47,1
47,48,-1
48,48,0
48,48,0
47,48,-1
46,48,-2
46,48,-2
47,48,-1
48,48,0
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
49,48,1
49,48,1
48,48,0
48,48,0
48,48,0
49,48,1
50,48,2
49,48,1
48,48,0
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
47,48,-1
48,48,0
49,48,1
49,48,1
48,48,0
47,48,-1
47,48,-1
48,48,0
49,48,1
49,48,1
48,48,0
47,48,-1
47,48,-1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
49,48,1
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
48,48,0
49,48,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
47,49,-2
47,49,-2
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
48,49,-1
49,49,0
49,49,0
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
50,49,1
50,49,1
49,49,0
49,49,0
50,49,1
50,49,1
50,49,1
50,50,0
49,50,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
48,49,-1
49,49,0
49,49,0
50,49,1
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
50,49,1
50,49,1
50,49,1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
50,49,1
49,49,0
49,49,0
48,49,-1
48,49,-1
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
49,49,0
48,49,-1
48,49,-1
48,49,-1
48,49,-1
48,49,-1
48,49,-1
49,49,0
50,49,1
50,49,1
49,49,0
